date, Inflation Rate (%), Annual Change, 
12/31/60,1.7799,,
12/31/61,1.6952,-0.08,
12/31/62,3.6322,1.94,
12/31/63,2.9462,-0.69,
12/31/64,13.3553,10.41,
12/31/65,9.4748,-3.88,
12/31/66,10.8018,1.33,
12/31/67,13.0622,2.26,
12/31/68,3.2374,-9.82,
12/31/69,-0.5841,-3.82,
12/31/70,5.0923,5.68,
12/31/71,3.0799,-2.01,
12/31/72,6.4421,3.36,
12/31/73,16.9408,10.5,
12/31/74,28.5987,11.66,
12/31/75,5.7484,-22.85,
12/31/76,-7.6339,-13.38,
12/31/77,8.3075,15.94,
12/31/78,2.523,-5.78,
12/31/79,6.2757,3.75,
12/31/80,11.3461,5.07,
12/31/81,13.1125,1.77,
12/31/82,7.8907,-5.22,
12/31/83,11.8681,3.98,
12/31/84,8.3189,-3.55,
12/31/85,5.5564,-2.76,
12/31/86,8.7297,3.17,
12/31/87,8.8011,0.07,
12/31/88,9.3835,0.58,
12/31/89,7.0743,-2.31,
12/31/90,8.9712,1.9,
12/31/91,13.8702,4.9,
12/31/92,11.7878,-2.08,
12/31/93,6.3269,-5.46,
12/31/94,10.2479,3.92,
12/31/95,10.2249,-0.02,
12/31/96,8.9772,-1.25,
12/31/97,7.1643,-1.81,
12/31/98,13.2308,6.07,
12/31/99,4.6698,-8.56,
12/31/00,4.0094,-0.66,
12/31/01,3.7793,-0.23,
12/31/02,4.2972,0.52,
12/31/03,3.8059,-0.49,
12/31/04,3.7673,-0.04,
12/31/05,4.2463,0.48,
12/31/06,5.7965,1.55,
12/31/07,6.3729,0.58,
12/31/08,8.3493,1.98,
12/31/09,10.8824,2.53,
12/31/10,11.9894,1.11,
12/31/11,8.9118,-3.08,
12/31/12,9.479,0.57,
12/31/13,10.0179,0.54,
12/31/14,6.6657,-3.35,
12/31/15,4.907,-1.76,
12/31/16,4.9482,0.04,
12/31/17,3.3282,-1.62,
12/31/18,3.9388,0.61,
12/31/19,3.7295,-0.21,
12/31/20,6.6234,2.89,
12/31/21,5.1314,-1.49,
